congress,senator_name,senator_state,senator_party
101st,Spark Matsunaga,Hawaii,Democratic
101st,James A. McClure,Idaho,Republican
101st,Steve Symms,Idaho,Republican
101st,Alan J. Dixon,Illinois,Democratic
101st,Paul Simon,Illinois,Democratic
101st,Dan Coats,Indiana,Republican
101st,Richard Lugar,Indiana,Republican
101st,Chuck Grassley,Iowa,Republican
101st,Tom Harkin,Iowa,Democratic
101st,Bob Dole,Kansas,Republican
101st,Nancy Kassebaum Baker,Kansas,Republican
101st,Mitch McConnell,Kentucky,Republican
101st,Wendell H. Ford,Kentucky,Democratic
101st,Bennett Johnston Jr.,Louisiana,Democratic
101st,John Breaux,Louisiana,Democratic
101st,George J. Mitchell,Maine,Democratic
101st,William Cohen,Maine,Republican
101st,Barbara Mikulski,Maryland,Democratic
101st,Paul Sarbanes,Maryland,Democratic
101st,John Kerry,Massachusetts,Democratic
101st,Ted Kennedy,Massachusetts,Democratic
101st,Carl Levin,Michigan,Democratic
101st,"Donald W. Riegle, Jr.",Michigan,Democratic
101st,David Durenberger,Minnesota,Republican
101st,Rudy Boschwitz,Minnesota,Republican
101st,Thad Cochran,Mississippi,Republican
101st,Trent Lott,Mississippi,Republican
101st,John Danforth,Missouri,Republican
101st,Kit Bond,Missouri,Republican
101st,Conrad Burns,Montana,Republican
101st,Max Baucus,Montana,Democratic
101st,Bob Kerrey,Nebraska,Democratic
101st,J. James Exon,Nebraska,Democratic
101st,Harry Reid,Nevada,Democratic
101st,Richard Bryan,Nevada,Democratic
101st,Bob Smith,New Hampshire,Republican
101st,Gordon J. Humphrey,New Hampshire,Republican
101st,Warren Rudman,New Hampshire,Republican
101st,Bill Bradley,New Jersey,Democratic
101st,Frank Lautenberg,New Jersey,Democratic
101st,Jeff Bingaman,New Mexico,Democratic
101st,Pete Domenici,New Mexico,Republican
101st,Al D'Amato,New York,Republican
101st,Pat Moynihan,New York,Democratic
101st,Jesse Helms,North Carolina,Republican
101st,Terry Sanford,North Carolina,Democratic
101st,Kent Conrad,North Dakota,Democratic
101st,Quentin Northrup Burdick,North Dakota,Democratic
101st,Howard Metzenbaum,Ohio,Democratic
101st,John Glenn,Ohio,Democratic
101st,David L. Boren,Oklahoma,Democratic
101st,Don Nickles,Oklahoma,Republican
101st,Bob Packwood,Oregon,Republican
101st,Mark Hatfield,Oregon,Republican
101st,Arlen Specter,Pennsylvania,Republican
101st,H. John Heinz III,Pennsylvania,Republican
101st,Claiborne Pell,Rhode Island,Democratic
101st,John Chafee,Rhode Island,Republican
101st,Ernest Hollings,South Carolina,Democratic
101st,Strom Thurmond,South Carolina,Republican
101st,Larry Pressler,South Dakota,Republican
101st,Tom Daschle,South Dakota,Democratic
101st,Al Gore,Tennessee,Democratic
101st,Jim Sasser,Tennessee,Democratic
101st,Lloyd Bentsen,Texas,Democratic
101st,Phil Gramm,Texas,Republican
101st,Jake Garn,Utah,Republican
101st,Orrin Hatch,Utah,Republican
101st,Jim Jeffords,Vermont,Republican
101st,Patrick Leahy,Vermont,Democratic
101st,Chuck Robb,Virginia,Democratic
101st,John Warner,Virginia,Republican
101st,Brock Adams,Washington,Democratic
101st,Slade Gorton,Washington,Republican
101st,Jay Rockefeller,West Virginia,Democratic
101st,Robert Byrd,West Virginia,Democratic
101st,Bob Kasten,Wisconsin,Republican
101st,Herb Kohl,Wisconsin,Democratic
101st,Alan K. Simpson,Wyoming,Republican
101st,Malcolm Wallop,Wyoming,Republican
100th,Howell Heflin,Alabama,Democratic
100th,Richard Shelby,Alabama,Democratic
100th,Frank Murkowski,Alaska,Republican
100th,Ted Stevens,Alaska,Republican
100th,Dennis DeConcini,Arizona,Democratic
100th,John McCain,Arizona,Republican
100th,Dale Bumpers,Arkansas,Democratic
100th,David Pryor,Arkansas,Democratic
100th,Alan Cranston,California,Democratic
100th,Pete Wilson,California,Republican
100th,Tim Wirth,Colorado,Democratic
100th,William L. Armstrong,Colorado,Republican
100th,Chris Dodd,Connecticut,Democratic
100th,Lowell Weicker,Connecticut,Republican
100th,Bill Roth,Delaware,Republican
100th,Joe Biden,Delaware,Democratic
100th,Bob Graham,Florida,Democratic
100th,Lawton Chiles,Florida,Democratic
100th,Sam Nunn,Georgia,Democratic
100th,Wyche Fowler,Georgia,Democratic
100th,Daniel Inouye,Hawaii,Democratic
100th,Spark Matsunaga,Hawaii,Democratic
100th,James A. McClure,Idaho,Republican
100th,Steve Symms,Idaho,Republican
100th,Alan J. Dixon,Illinois,Democratic
100th,Paul Simon,Illinois,Democratic
100th,Dan Quayle,Indiana,Republican
100th,Richard Lugar,Indiana,Republican
100th,Chuck Grassley,Iowa,Republican
100th,Tom Harkin,Iowa,Democratic
100th,Bob Dole,Kansas,Republican
100th,Nancy Kassebaum Baker,Kansas,Republican
100th,Mitch McConnell,Kentucky,Republican
100th,Wendell H. Ford,Kentucky,Democratic
100th,Bennett Johnston Jr.,Louisiana,Democratic
100th,John Breaux,Louisiana,Democratic
100th,George J. Mitchell,Maine,Democratic
100th,William Cohen,Maine,Republican
100th,Barbara Mikulski,Maryland,Democratic
100th,Paul Sarbanes,Maryland,Democratic
100th,John Kerry,Massachusetts,Democratic
100th,Ted Kennedy,Massachusetts,Democratic
100th,Carl Levin,Michigan,Democratic
100th,"Donald W. Riegle, Jr.",Michigan,Democratic
100th,David Durenberger,Minnesota,Republican
100th,Rudy Boschwitz,Minnesota,Republican
100th,John C. Stennis,Mississippi,Democratic
100th,Thad Cochran,Mississippi,Republican
100th,John Danforth,Missouri,Republican
100th,Kit Bond,Missouri,Republican
100th,John Melcher,Montana,Democratic
100th,Max Baucus,Montana,Democratic
100th,David Karnes,Nebraska,Republican
100th,Edward Zorinsky,Nebraska,Democratic
100th,J. James Exon,Nebraska,Democratic
100th,Chic Hecht,Nevada,Republican
100th,Harry Reid,Nevada,Democratic
100th,Gordon J. Humphrey,New Hampshire,Republican
100th,Warren Rudman,New Hampshire,Republican
100th,Bill Bradley,New Jersey,Democratic
100th,Frank Lautenberg,New Jersey,Democratic
100th,Jeff Bingaman,New Mexico,Democratic
100th,Pete Domenici,New Mexico,Republican
100th,Al D'Amato,New York,Republican
100th,Pat Moynihan,New York,Democratic
100th,Jesse Helms,North Carolina,Republican
100th,Terry Sanford,North Carolina,Democratic
100th,Kent Conrad,North Dakota,Democratic
100th,Quentin Northrup Burdick,North Dakota,Democratic
100th,Howard Metzenbaum,Ohio,Democratic
100th,John Glenn,Ohio,Democratic
100th,David L. Boren,Oklahoma,Democratic
100th,Don Nickles,Oklahoma,Republican
100th,Bob Packwood,Oregon,Republican
100th,Mark Hatfield,Oregon,Republican
100th,Arlen Specter,Pennsylvania,Republican
100th,H. John Heinz III,Pennsylvania,Republican
100th,Claiborne Pell,Rhode Island,Democratic
100th,John Chafee,Rhode Island,Republican
100th,Ernest Hollings,South Carolina,Democratic
100th,Strom Thurmond,South Carolina,Republican
100th,Larry Pressler,South Dakota,Republican
100th,Tom Daschle,South Dakota,Democratic
100th,Al Gore,Tennessee,Democratic
100th,Jim Sasser,Tennessee,Democratic
100th,Lloyd Bentsen,Texas,Democratic
100th,Phil Gramm,Texas,Republican
100th,Jake Garn,Utah,Republican
100th,Orrin Hatch,Utah,Republican
100th,Patrick Leahy,Vermont,Democratic
100th,Robert Stafford,Vermont,Republican
100th,John Warner,Virginia,Republican
100th,Paul Trible,Virginia,Republican
100th,Brock Adams,Washington,Democratic
100th,Daniel J. Evans,Washington,Republican
100th,Jay Rockefeller,West Virginia,Democratic
100th,Robert Byrd,West Virginia,Democratic
100th,Bob Kasten,Wisconsin,Republican
100th,William Proxmire,Wisconsin,Democratic
100th,Alan K. Simpson,Wyoming,Republican
100th,Malcolm Wallop,Wyoming,Republican
99th,Howell Heflin,Alabama,Democratic
99th,Jeremiah Denton,Alabama,Republican
99th,Frank Murkowski,Alaska,Republican
99th,Ted Stevens,Alaska,Republican
99th,Barry Goldwater,Arizona,Republican
99th,Dennis DeConcini,Arizona,Democratic
99th,Dale Bumpers,Arkansas,Democratic
99th,David Pryor,Arkansas,Democratic
99th,Alan Cranston,California,Democratic
99th,Pete Wilson,California,Republican
99th,Gary Hart,Colorado,Democratic
99th,William L. Armstrong,Colorado,Republican
99th,Chris Dodd,Connecticut,Democratic
99th,Lowell Weicker,Connecticut,Republican
99th,Bill Roth,Delaware,Republican
99th,Joe Biden,Delaware,Democratic
99th,Lawton Chiles,Florida,Democratic
99th,Paula Hawkins,Florida,Republican
99th,Mack Mattingly,Georgia,Republican
99th,Sam Nunn,Georgia,Democratic
99th,Daniel Inouye,Hawaii,Democratic
99th,Spark Matsunaga,Hawaii,Democratic
99th,James A. McClure,Idaho,Republican
99th,Steve Symms,Idaho,Republican
99th,Alan J. Dixon,Illinois,Democratic
99th,Paul Simon,Illinois,Democratic
99th,Dan Quayle,Indiana,Republican
99th,Richard Lugar,Indiana,Republican
99th,Chuck Grassley,Iowa,Republican
99th,Tom Harkin,Iowa,Democratic
99th,Bob Dole,Kansas,Republican
99th,Nancy Kassebaum,Kansas,Republican
99th,Mitch McConnell,Kentucky,Republican
99th,Wendell H. Ford,Kentucky,Democratic
99th,Bennett Johnston Jr.,Louisiana,Democratic
99th,Russell B. Long,Louisiana,Democratic
99th,George J. Mitchell,Maine,Democratic
99th,William Cohen,Maine,Republican
99th,Charles Mathias,Maryland,Republican
99th,Paul Sarbanes,Maryland,Democratic
99th,John Kerry,Massachusetts,Democratic
99th,Ted Kennedy,Massachusetts,Democratic
99th,Carl Levin,Michigan,Democratic
99th,"Donald W. Riegle, Jr.",Michigan,Democratic
99th,David Durenberger,Minnesota,Republican
99th,Rudy Boschwitz,Minnesota,Republican
99th,John C. Stennis,Mississippi,Democratic
99th,Thad Cochran,Mississippi,Republican
99th,John Danforth,Missouri,Republican
99th,Thomas Eagleton,Missouri,Democratic
99th,John Melcher,Montana,Democratic
99th,Max Baucus,Montana,Democratic
99th,Edward Zorinsky,Nebraska,Democratic
99th,J. James Exon,Nebraska,Democratic
99th,Chic Hecht,Nevada,Republican
99th,Paul Laxalt,Nevada,Republican
99th,Gordon J. Humphrey,New Hampshire,Republican
99th,Warren Rudman,New Hampshire,Republican
99th,Bill Bradley,New Jersey,Democratic
99th,Frank Lautenberg,New Jersey,Democratic
99th,Jeff Bingaman,New Mexico,Democratic
99th,Pete Domenici,New Mexico,Republican
99th,Al D'Amato,New York,Republican
99th,Daniel Patrick Moynihan,New York,Democratic
99th,Jesse Helms,North Carolina,Republican
99th,Jim Broyhill,North Carolina,Republican
99th,John Porter East,North Carolina,Republican
99th,Terry Sanford,North Carolina,Democratic
99th,Mark Andrews,North Dakota,Republican
99th,Quentin Northrup Burdick,North Dakota,Democratic
99th,Howard Metzenbaum,Ohio,Democratic
99th,John Glenn,Ohio,Democratic
99th,David L. Boren,Oklahoma,Democratic
99th,Don Nickles,Oklahoma,Republican
99th,Bob Packwood,Oregon,Republican
99th,Mark Hatfield,Oregon,Republican
99th,Arlen Specter,Pennsylvania,Republican
99th,H. John Heinz III,Pennsylvania,Republican
99th,Claiborne Pell,Rhode Island,Democratic
99th,John Chafee,Rhode Island,Republican
99th,Fritz Hollings,South Carolina,Democratic
99th,Strom Thurmond,South Carolina,Republican
99th,James Abdnor,South Dakota,Republican
99th,Larry Pressler,South Dakota,Republican
99th,Al Gore,Tennessee,Democratic
99th,Jim Sasser,Tennessee,Democratic
99th,Lloyd Bentsen,Texas,Democratic
99th,Phil Gramm,Texas,Republican
99th,Jake Garn,Utah,Republican
99th,Orrin Hatch,Utah,Republican
99th,Patrick Leahy,Vermont,Democratic
99th,Robert Stafford,Vermont,Republican
99th,John Warner,Virginia,Republican
99th,Paul Trible,Virginia,Republican
99th,Daniel J. Evans,Washington,Republican
99th,Slade Gorton,Washington,Republican
99th,Jay Rockefeller,West Virginia,Democratic
99th,Robert Byrd,West Virginia,Democratic
99th,Bob Kasten,Wisconsin,Republican
99th,William Proxmire,Wisconsin,Democratic
99th,Alan K. Simpson,Wyoming,Republican
99th,Malcolm Wallop,Wyoming,Republican
98th,Howell Heflin,Alabama,Democratic
98th,Jeremiah Denton,Alabama,Republican
98th,Frank Murkowski,Alaska,Republican
98th,Ted Stevens,Alaska,Republican
98th,Barry Goldwater,Arizona,Republican
98th,Dennis DeConcini,Arizona,Democratic
98th,Dale Bumpers,Arkansas,Democratic
98th,David Pryor,Arkansas,Democratic
98th,Alan Cranston,California,Democratic
98th,Pete Wilson,California,Republican
98th,Gary Hart,Colorado,Democratic
98th,William L. Armstrong,Colorado,Republican
98th,Chris Dodd,Connecticut,Democratic
98th,Lowell Weicker,Connecticut,Republican
98th,Bill Roth,Delaware,Republican
98th,Joe Biden,Delaware,Democratic
98th,Lawton Chiles,Florida,Democratic
98th,Paula Hawkins,Florida,Republican
98th,Mack Mattingly,Georgia,Republican
98th,Sam Nunn,Georgia,Democratic
98th,Daniel Inouye,Hawaii,Democratic
98th,Spark Matsunaga,Hawaii,Democratic
98th,James A. McClure,Idaho,Republican
98th,Steve Symms,Idaho,Republican
98th,Alan J. Dixon,Illinois,Democratic
98th,Charles H. Percy,Illinois,Republican
98th,Dan Quayle,Indiana,Republican
98th,Richard Lugar,Indiana,Republican
98th,Chuck Grassley,Iowa,Republican
98th,Roger Jepsen,Iowa,Republican
98th,Bob Dole,Kansas,Republican
98th,Nancy Kassebaum,Kansas,Republican
98th,Walter Huddleston,Kentucky,Democratic
98th,Wendell H. Ford,Kentucky,Democratic
98th,Bennett Johnston Jr.,Louisiana,Democratic
98th,Russell B. Long,Louisiana,Democratic
98th,George J. Mitchell,Maine,Democratic
98th,William Cohen,Maine,Republican
98th,Charles Mathias,Maryland,Republican
98th,Paul Sarbanes,Maryland,Democratic
98th,John Kerry,Massachusetts,Democratic
98th,Paul Tsongas,Massachusetts,Democratic
98th,Ted Kennedy,Massachusetts,Democratic
98th,Carl Levin,Michigan,Democratic
98th,"Donald W. Riegle, Jr.",Michigan,Democratic
98th,David Durenberger,Minnesota,Republican
98th,Rudy Boschwitz,Minnesota,Republican
98th,John C. Stennis,Mississippi,Democratic
98th,Thad Cochran,Mississippi,Republican
98th,John Danforth,Missouri,Republican
98th,Thomas Eagleton,Missouri,Democratic
98th,John Melcher,Montana,Democratic
98th,Max Baucus,Montana,Democratic
98th,Edward Zorinsky,Nebraska,Democratic
98th,J. James Exon,Nebraska,Democratic
98th,Chic Hecht,Nevada,Republican
98th,Paul Laxalt,Nevada,Republican
98th,Gordon J. Humphrey,New Hampshire,Republican
98th,Warren Rudman,New Hampshire,Republican
98th,Bill Bradley,New Jersey,Democratic
98th,Frank Lautenberg,New Jersey,Democratic
98th,Jeff Bingaman,New Mexico,Democratic
98th,Pete Domenici,New Mexico,Republican
98th,Al D'Amato,New York,Republican
98th,Daniel Patrick Moynihan,New York,Democratic
98th,Jesse Helms,North Carolina,Republican
98th,John Porter East,North Carolina,Republican
98th,Mark Andrews,North Dakota,Republican
98th,Quentin Northrup Burdick,North Dakota,Democratic
98th,Howard Metzenbaum,Ohio,Democratic
98th,John Glenn,Ohio,Democratic
98th,David L. Boren,Oklahoma,Democratic
98th,Don Nickles,Oklahoma,Republican
98th,Bob Packwood,Oregon,Republican
98th,Mark Hatfield,Oregon,Republican
98th,Arlen Specter,Pennsylvania,Republican
98th,H. John Heinz III,Pennsylvania,Republican
98th,Claiborne Pell,Rhode Island,Democratic
98th,John Chafee,Rhode Island,Republican
98th,Fritz Hollings,South Carolina,Democratic
98th,Strom Thurmond,South Carolina,Republican
98th,James Abdnor,South Dakota,Republican
98th,Larry Pressler,South Dakota,Republican
98th,Howard Baker,Tennessee,Republican
98th,Jim Sasser,Tennessee,Democratic
98th,John Tower,Texas,Republican
98th,Lloyd Bentsen,Texas,Democratic
98th,Jake Garn,Utah,Republican
98th,Orrin Hatch,Utah,Republican
98th,Patrick Leahy,Vermont,Democratic
98th,Robert Stafford,Vermont,Republican
98th,John Warner,Virginia,Republican
98th,Paul Trible,Virginia,Republican
98th,Daniel J. Evans,Washington,Republican
98th,Henry M. Jackson,Washington,Democratic
98th,Slade Gorton,Washington,Republican
98th,Jennings Randolph,West Virginia,Democratic
98th,Robert Byrd,West Virginia,Democratic
98th,Bob Kasten,Wisconsin,Republican
98th,William Proxmire,Wisconsin,Democratic
98th,Alan K. Simpson,Wyoming,Republican
98th,Malcolm Wallop,Wyoming,Republican
97th,Howell Heflin,Alabama,Democratic
97th,Jeremiah Denton,Alabama,Republican
97th,Frank Murkowski,Alaska,Republican
97th,Ted Stevens,Alaska,Republican
97th,Barry Goldwater,Arizona,Republican
97th,Dennis DeConcini,Arizona,Democratic
97th,Dale Bumpers,Arkansas,Democratic
97th,David Pryor,Arkansas,Democratic
97th,Alan Cranston,California,Democratic
97th,Samuel Hayakawa,California,Republican
97th,Gary Hart,Colorado,Democratic
97th,William L. Armstrong,Colorado,Republican
97th,Chris Dodd,Connecticut,Democratic
97th,Lowell Weicker,Connecticut,Republican
97th,Bill Roth,Delaware,Republican
97th,Joe Biden,Delaware,Democratic
97th,Lawton Chiles,Florida,Democratic
97th,Paula Hawkins,Florida,Republican
97th,Mack Mattingly,Georgia,Republican
97th,Sam Nunn,Georgia,Democratic
97th,Daniel Inouye,Hawaii,Democratic
97th,Spark Matsunaga,Hawaii,Democratic
97th,James A. McClure,Idaho,Republican
97th,Steve Symms,Idaho,Republican
97th,Alan J. Dixon,Illinois,Democratic
97th,Charles H. Percy,Illinois,Republican
97th,Dan Quayle,Indiana,Republican
97th,Richard Lugar,Indiana,Republican
97th,Chuck Grassley,Iowa,Republican
97th,Roger Jepsen,Iowa,Republican
97th,Bob Dole,Kansas,Republican
97th,Nancy Kassebaum Baker,Kansas,Republican
97th,Walter Huddleston,Kentucky,Democratic
97th,Wendell H. Ford,Kentucky,Democratic
97th,Bennett Johnston Jr.,Louisiana,Democratic
97th,Russell B. Long,Louisiana,Democratic
97th,George J. Mitchell,Maine,Democratic
97th,William Cohen,Maine,Republican
97th,Charles Mathias,Maryland,Republican
97th,Paul Sarbanes,Maryland,Democratic
97th,Paul Tsongas,Massachusetts,Democratic
97th,Ted Kennedy,Massachusetts,Democratic
97th,Carl Levin,Michigan,Democratic
97th,"Donald W. Riegle, Jr.",Michigan,Democratic
97th,David Durenberger,Minnesota,Republican
97th,Rudy Boschwitz,Minnesota,Republican
97th,John C. Stennis,Mississippi,Democratic
97th,Thad Cochran,Mississippi,Republican
97th,John Danforth,Missouri,Republican
97th,Thomas Eagleton,Missouri,Democratic
97th,John Melcher,Montana,Democratic
97th,Max Baucus,Montana,Democratic
97th,Edward Zorinsky,Nebraska,Democratic
97th,J. James Exon,Nebraska,Democratic
97th,Howard Cannon,Nevada,Democratic
97th,Paul Laxalt,Nevada,Republican
97th,Gordon J. Humphrey,New Hampshire,Republican
97th,Warren Rudman,New Hampshire,Republican
97th,Bill Bradley,New Jersey,Democratic
97th,Frank Lautenberg,New Jersey,Democratic
97th,Harrison A. Williams,New Jersey,Democratic
97th,Nicholas F. Brady,New Jersey,Republican
97th,Harrison Schmitt,New Mexico,Republican
97th,Pete Domenici,New Mexico,Republican
97th,Al D'Amato,New York,Republican
97th,Pat Moynihan,New York,Democratic
97th,Jesse Helms,North Carolina,Republican
97th,John Porter East,North Carolina,Republican
97th,Mark Andrews,North Dakota,Republican
97th,Quentin Northrup Burdick,North Dakota,Democratic
97th,Howard Metzenbaum,Ohio,Democratic
97th,John Glenn,Ohio,Democratic
97th,David L. Boren,Oklahoma,Democratic
97th,Don Nickles,Oklahoma,Republican
97th,Bob Packwood,Oregon,Republican
97th,Mark Hatfield,Oregon,Republican
97th,Arlen Specter,Pennsylvania,Republican
97th,H. John Heinz III,Pennsylvania,Republican
97th,Claiborne Pell,Rhode Island,Democratic
97th,John Chafee,Rhode Island,Republican
97th,Ernest Hollings,South Carolina,Democratic
97th,Strom Thurmond,South Carolina,Republican
97th,James Abdnor,South Dakota,Republican
97th,Larry Pressler,South Dakota,Republican
97th,Howard Baker,Tennessee,Republican
97th,Jim Sasser,Tennessee,Democratic
97th,John Tower,Texas,Republican
97th,Lloyd Bentsen,Texas,Democratic
97th,Jake Garn,Utah,Republican
97th,Orrin Hatch,Utah,Republican
97th,Patrick Leahy,Vermont,Democratic
97th,Robert Stafford,Vermont,Republican
97th,"Harry F. Byrd, Jr.",Virginia,Independent
97th,John Warner,Virginia,Republican
97th,Henry M. Jackson,Washington,Democratic
97th,Slade Gorton,Washington,Republican
97th,Jennings Randolph,West Virginia,Democratic
97th,Robert Byrd,West Virginia,Democratic
97th,Bob Kasten,Wisconsin,Republican
97th,William Proxmire,Wisconsin,Democratic
97th,Alan K. Simpson,Wyoming,Republican
97th,Malcolm Wallop,Wyoming,Republican
96th,Donald W. Stewart,Alabama,Democratic
96th,Howell Heflin,Alabama,Democratic
96th,Jeremiah Denton,Alabama,Republican
96th,Mike Gravel,Alaska,Democratic
96th,Ted Stevens,Alaska,Republican
96th,Barry Goldwater,Arizona,Republican
96th,Dennis DeConcini,Arizona,Democratic
96th,Dale Bumpers,Arkansas,Democratic
96th,David Pryor,Arkansas,Democratic
96th,Alan Cranston,California,Democratic
96th,Samuel Hayakawa,California,Republican
96th,Gary Hart,Colorado,Democratic
96th,William L. Armstrong,Colorado,Republican
96th,Abraham A. Ribicoff,Connecticut,Democratic
96th,Lowell Weicker,Connecticut,Republican
96th,Bill Roth,Delaware,Republican
96th,Joe Biden,Delaware,Democratic
96th,Lawton Chiles,Florida,Democratic
96th,Paula Hawkins,Florida,Republican
96th,Richard Stone,Florida,Democratic
96th,Herman Talmadge,Georgia,Democratic
96th,Sam Nunn,Georgia,Democratic
96th,Daniel Inouye,Hawaii,Democratic
96th,Spark Matsunaga,Hawaii,Democratic
96th,Frank Church,Idaho,Democratic
96th,James A. McClure,Idaho,Republican
96th,Adlai Stevenson III,Illinois,Democratic
96th,Charles H. Percy,Illinois,Republican
96th,Birch Bayh,Indiana,Democratic
96th,Richard Lugar,Indiana,Republican
96th,John Culver,Iowa,Democratic
96th,Roger Jepsen,Iowa,Republican
96th,Bob Dole,Kansas,Republican
96th,Nancy Kassebaum Baker,Kansas,Republican
96th,Walter Huddleston,Kentucky,Democratic
96th,Wendell H. Ford,Kentucky,Democratic
96th,Bennett Johnston Jr.,Louisiana,Democratic
96th,Russell B. Long,Louisiana,Democratic
96th,Edmund Muskie,Maine,Democratic
96th,George J. Mitchell,Maine,Democratic
96th,William Cohen,Maine,Republican
96th,Charles Mathias,Maryland,Republican
96th,Paul Sarbanes,Maryland,Democratic
96th,Paul Tsongas,Massachusetts,Democratic
96th,Ted Kennedy,Massachusetts,Democratic
96th,Carl Levin,Michigan,Democratic
96th,"Donald W. Riegle, Jr.",Michigan,Democratic
96th,David Durenberger,Minnesota,Republican
96th,Rudy Boschwitz,Minnesota,Republican
96th,John C. Stennis,Mississippi,Democratic
96th,Thad Cochran,Mississippi,Republican
96th,John Danforth,Missouri,Republican
96th,Thomas Eagleton,Missouri,Democratic
96th,John Melcher,Montana,Democratic
96th,Max Baucus,Montana,Democratic
96th,Edward Zorinsky,Nebraska,Democratic
96th,J. James Exon,Nebraska,Democratic
96th,Howard Cannon,Nevada,Democratic
96th,Paul Laxalt,Nevada,Republican
96th,Gordon J. Humphrey,New Hampshire,Republican
96th,John Durkin,New Hampshire,Democratic
96th,Warren Rudman,New Hampshire,Republican
96th,Bill Bradley,New Jersey,Democratic
96th,Harrison A. Williams,New Jersey,Democratic
96th,Harrison Schmitt,New Mexico,Republican
96th,Pete Domenici,New Mexico,Republican
96th,Jacob K. Javits,New York,Republican
96th,Pat Moynihan,New York,Democratic
96th,Jesse Helms,North Carolina,Republican
96th,Robert Burren Morgan,North Carolina,Democratic
96th,Milton Young,North Dakota,Republican
96th,Quentin Northrup Burdick,North Dakota,Democratic
96th,Howard Metzenbaum,Ohio,Democratic
96th,John Glenn,Ohio,Democratic
96th,David L. Boren,Oklahoma,Democratic
96th,Henry Bellmon,Oklahoma,Republican
96th,Bob Packwood,Oregon,Republican
96th,Mark Hatfield,Oregon,Republican
96th,H. John Heinz III,Pennsylvania,Republican
96th,Richard Schweiker,Pennsylvania,Republican
96th,Claiborne Pell,Rhode Island,Democratic
96th,John Chafee,Rhode Island,Republican
96th,Ernest Hollings,South Carolina,Democratic
96th,Strom Thurmond,South Carolina,Republican
96th,George McGovern,South Dakota,Democratic
96th,Larry Pressler,South Dakota,Republican
96th,Howard Baker,Tennessee,Republican
96th,Jim Sasser,Tennessee,Democratic
96th,John Tower,Texas,Republican
96th,Lloyd Bentsen,Texas,Democratic
96th,Jake Garn,Utah,Republican
96th,Orrin Hatch,Utah,Republican
96th,Patrick Leahy,Vermont,Democratic
96th,Robert Stafford,Vermont,Republican
96th,"Harry F. Byrd, Jr.",Virginia,Independent
96th,John Warner,Virginia,Republican
96th,Henry M. Jackson,Washington,Democratic
96th,Warren G. Magnuson,Washington,Democratic
96th,Jennings Randolph,West Virginia,Democratic
96th,Robert Byrd,West Virginia,Democratic
96th,Gaylord Nelson,Wisconsin,Democratic
96th,William Proxmire,Wisconsin,Democratic
96th,Alan K. Simpson,Wyoming,Republican
96th,Malcolm Wallop,Wyoming,Republican
95th,Donald W. Stewart,Alabama,Democratic
95th,James Allen,Alabama,Democratic
95th,John Sparkman,Alabama,Democratic
95th,Maryon Allen,Alabama,Democratic
95th,Mike Gravel,Alaska,Democratic
95th,Ted Stevens,Alaska,Republican
95th,Barry Goldwater,Arizona,Republican
95th,Dennis DeConcini,Arizona,Democratic
95th,Dale Bumpers,Arkansas,Democratic
95th,John Little McClellan,Arkansas,Democratic
95th,Kaneaster Hodges,Arkansas,Democratic
95th,Alan Cranston,California,Democratic
95th,Samuel Hayakawa,California,Democratic
95th,Floyd K. Haskell,Colorado,Democratic
95th,Gary Hart,Colorado,Democratic
95th,Abraham A. Ribicoff,Connecticut,Democratic
95th,Lowell Weicker,Connecticut,Republican
95th,Bill Roth,Delaware,Republican
95th,Joe Biden,Delaware,Democratic
95th,Lawton Chiles,Florida,Democratic
95th,Richard Stone,Florida,Democratic
95th,Herman Talmadge,Georgia,Democratic
95th,Sam Nunn,Georgia,Democratic
95th,Daniel Inouye,Hawaii,Democratic
95th,Spark Matsunaga,Hawaii,Democratic
95th,Frank Church,Idaho,Democratic
95th,James A. McClure,Idaho,Republican
95th,Adlai Stevenson III,Illinois,Democratic
95th,Charles H. Percy,Illinois,Republican
95th,Birch Bayh,Indiana,Democratic
95th,Richard Lugar,Indiana,Republican
95th,John Culver,Iowa,Democratic
95th,Richard C. Clark,Iowa,Democratic
95th,Bob Dole,Kansas,Republican
95th,James B. Pearson,Kansas,Republican
95th,Nancy Kassebaum Baker,Kansas,Republican
95th,Walter Huddleston,Kentucky,Democratic
95th,Wendell H. Ford,Kentucky,Democratic
95th,Bennett Johnston Jr.,Louisiana,Democratic
95th,Russell B. Long,Louisiana,Democratic
95th,Edmund Muskie,Maine,Democratic
95th,William Hathaway,Maine,Democratic
95th,Charles Mathias,Maryland,Republican
95th,Paul Sarbanes,Maryland,Democratic
95th,Edward Brooke,Massachusetts,Republican
95th,Ted Kennedy,Massachusetts,Democratic
95th,"Donald W. Riegle, Jr.",Michigan,Democratic
95th,Robert P. Griffin,Michigan,Republican
95th,David Durenberger,Minnesota,Republican
95th,Hubert Humphrey,Minnesota,Democratic
95th,Muriel Humphrey,Minnesota,Democratic
95th,Rudy Boschwitz,Minnesota,Republican
95th,Wendell Anderson,Minnesota,Democratic
95th,James Eastland,Mississippi,Democratic
95th,John C. Stennis,Mississippi,Democratic
95th,Thad Cochran,Mississippi,Republican
95th,John Danforth,Missouri,Republican
95th,Thomas Eagleton,Missouri,Democratic
95th,John Melcher,Montana,Democratic
95th,Lee Metcalf,Montana,Democratic
